anime_id,name,genre,type,episodes,rating,members
10420,Gakuen 3,Hentai,OVA,2,6.63,2188
10546,Rinkan Club,Hentai,OVA,4,6.63,3107
2148,Okane ga Nai,"Drama, Romance, Yaoi",OVA,4,6.58,27367
10770,Mahou Shoujo Elena,"Hentai, Magic, Supernatural",OVA,3,6.55,3302
18653,JK to Orc Heidan: Aku Buta Oni ni Ryougyaku Sareta Seijo Gakuen,Hentai,OVA,2,6.46,2918
3916,Magical Witch Academy: Boku to Sensei no Magical Lesson The Animation,Hentai,OVA,2,6.42,2930
3329,Izumo (2003),"Adventure, Comedy, Fantasy, Hentai",OVA,5,6.27,1539
651,Green Green Thirteen: Erolutions,"Comedy, Hentai, Romance",OVA,1,6.26,17805
5191,Trouble Evocation,"Drama, Hentai, Romance",OVA,2,5.99,679
4775,Lunatic Night,"Comedy, Hentai, Parody",OVA,3,5.92,688
5401,Mahou Shoujo Sae,Hentai,OVA,2,5.71,1025
5285,SeeIn AO,Hentai,OVA,2,5.52,487
3540,Henbou Moral Hazard,Hentai,OVA,1,4.88,552
